,Symbol,Company Name, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
43,ADANIENT,Adani Enterprises Limited,EQ,4-Jun-97,1,1,INE423A01024,1
45,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2
106,AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-98,2,1,INE079A01024,2
131,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,5,1,INE437A01024,5
167,ASIANPAINT,Asian Paints Limited,EQ,31-May-95,1,1,INE021A01026,1
188,AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,1,1,INE406A01037,1
205,AXISBANK,Axis Bank Limited,EQ,16-Nov-98,2,1,INE238A01034,2
213,BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,10,1,INE917I01010,10
216,BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,1,1,INE918I01026,1
220,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10,1,INE118A01012,10
223,BAJFINANCE,Bajaj Finance Limited,EQ,1-Apr-03,2,1,INE296A01024,2
237,BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,10,1,INE545U01014,10
240,BANKBARODA,Bank of Baroda,EQ,19-Feb-97,2,1,INE028A01039,2
259,BEL,Bharat Electronics Limited,EQ,19-Jul-00,1,1,INE263A01024,1
262,BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,1,1,INE463A01038,1
271,BHARATFORG,Bharat Forge Limited,EQ,4-Apr-03,2,1,INE465A01025,2
276,BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-02,5,1,INE397D01024,5
278,BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-03,2,1,INE257A01026,2
283,BIOCON,Biocon Limited,EQ,7-Apr-04,5,1,INE376G01013,5
308,BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,10,1,INE029A01011,10
311,BRITANNIA,Britannia Industries Limited,EQ,5-Nov-98,1,1,INE216A01030,1
326,CANBK,Canara Bank,EQ,23-Dec-02,2,1,INE476A01022,2
368,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,2,1,INE121A01024,2
374,CIPLA,Cipla Limited,EQ,8-Feb-95,2,1,INE059A01026,2
379,COALINDIA,Coal India Limited,EQ,4-Nov-10,10,1,INE522F01014,10
384,COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-07,1,1,INE259A01022,1
419,DABUR,Dabur India Limited,EQ,28-Apr-99,1,1,INE016A01026,1
478,DIVISLAB,Divi's Laboratories Limited,EQ,12-Mar-03,2,1,INE361B01024,2
481,DLF,DLF Limited,EQ,5-Jul-07,2,1,INE271C01023,2
498,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-May-03,1,1,INE089A01031,1
512,EICHERMOT,Eicher Motors Limited,EQ,7-Sep-04,1,1,INE066A01021,1
550,ESCORTS,Escorts Kubota Limited,EQ,1-Mar-95,10,1,INE042A01014,10
563,EXIDEIND,Exide Industries Limited,EQ,17-Jun-03,1,1,INE302A01020,1
572,FEDERALBNK,The Federal Bank  Limited,EQ,8-Feb-95,2,1,INE171A01029,2
603,GAIL,GAIL (India) Limited,EQ,2-Apr-97,10,1,INE129A01019,10
641,GLAND,Gland Pharma Limited,EQ,20-Nov-20,1,1,INE068V01023,1
666,GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-01,1,1,INE102D01028,1
668,GODREJPROP,Godrej Properties Limited,EQ,5-Jan-10,5,1,INE484J01027,5
685,GRASIM,Grasim Industries Limited,EQ,10-May-95,2,1,INE047A01021,2
728,HAVELLS,Havells India Limited,EQ,21-Mar-01,1,1,INE176B01034,1
735,HCLTECH,HCL Technologies Limited,EQ,6-Jan-00,2,1,INE860A01027,2
737,HDFCBANK,HDFC Bank Limited,EQ,8-Nov-95,1,1,INE040A01034,1
738,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-Nov-17,10,1,INE795G01014,10
